PA,AG,SX,PP
Ang Mo Kio,90_and_over,Females,0
Ang Mo Kio,90_and_over,Females,0
Ang Mo Kio,0_to_4,Males,40
Ang Mo Kio,0_to_4,Males,130
Ang Mo Kio,0_to_4,Males,150
Ang Mo Kio,0_to_4,Males,60
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Males,0
Ang Mo Kio,0_to_4,Females,30
Ang Mo Kio,0_to_4,Females,110
Ang Mo Kio,0_to_4,Females,150
Ang Mo Kio,0_to_4,Females,80
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,0_to_4,Females,0
Ang Mo Kio,5_to_9,Males,30
Ang Mo Kio,5_to_9,Males,170
Ang Mo Kio,5_to_9,Males,140
Ang Mo Kio,5_to_9,Males,90
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Males,0
Ang Mo Kio,5_to_9,Females,30
Ang Mo Kio,5_to_9,Females,140
Ang Mo Kio,5_to_9,Females,150
Ang Mo Kio,5_to_9,Females,80
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,5_to_9,Females,0
Ang Mo Kio,10_to_14,Males,40
Ang Mo Kio,10_to_14,Males,200
Ang Mo Kio,10_to_14,Males,150
Ang Mo Kio,10_to_14,Males,80
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Males,0
Ang Mo Kio,10_to_14,Females,30
Ang Mo Kio,10_to_14,Females,170
Ang Mo Kio,10_to_14,Females,130
Ang Mo Kio,10_to_14,Females,90
Ang Mo Kio,10_to_14,Females,0
Ang Mo Kio,10_to_14,Females,0
Ang Mo Kio,10_to_14,Females,0
Ang Mo Kio,10_to_14,Females,0
Ang Mo Kio,15_to_19,Males,30
Ang Mo Kio,15_to_19,Males,260
Ang Mo Kio,15_to_19,Males,160
Ang Mo Kio,15_to_19,Males,100
Ang Mo Kio,15_to_19,Males,0
Ang Mo Kio,15_to_19,Males,0
Ang Mo Kio,15_to_19,Males,0
