PA,SZ,Year,AGE0-4,AGE05-9,AGE10-14,AGE15-19,AGE20-24,AGE25-29,AGE30-34,AGE35-39,AGE40-44,AGE45-49,AGE50-54,AGE55-59,AGE60-64,AGE65-69,AGE70-74,AGE75-79,AGE80-84,AGE85over,YOUNG,ACTIVE,OLD,TOTAL
River Valley,Oxley,2018,50,70,70,70,60,90,100,120,140,130,110,110,90,80,70,50,20,40,320,890,260,1470
River Valley,Paterson,2018,20,20,10,10,0,0,20,20,20,30,20,20,10,0,0,0,0,0,60,140,0,200
Rochor,Bencoolen,2018,40,40,40,40,50,80,80,100,90,100,100,120,110,110,60,50,30,50,210,780,300,1290
Rochor,Farrer Park,2018,80,120,140,130,130,160,160,240,290,250,210,190,210,190,110,80,70,70,600,1710,520,2830
Rochor,Kampong Glam,2018,0,0,0,0,0,0,10,20,10,20,20,20,0,10,0,10,0,20,0,100,40,140
Rochor,Little India,2018,90,100,130,150,180,230,180,210,270,250,280,290,270,270,190,170,90,110,650,1980,830,3460
Rochor,Mackenzie,2018,10,10,0,10,0,0,10,20,20,20,10,10,0,0,0,0,0,0,30,90,0,120
Rochor,Mount Emily,2018,70,60,60,50,30,80,130,200,200,140,80,60,60,60,20,10,10,20,270,950,120,1340
Rochor,Selegie,2018,10,10,10,0,20,20,10,20,40,10,20,20,20,20,10,0,0,10,50,160,40,250
Rochor,Sungei Road,2018,80,70,100,110,110,130,120,130,140,170,170,170,150,160,150,110,70,40,470,1180,530,2180
Rochor,Victoria,2018,50,40,40,40,90,130,120,120,150,140,140,170,170,180,130,100,70,60,260,1140,540,1940
Seletar,Seletar,2018,10,20,20,20,20,0,0,10,30,40,30,20,10,0,0,0,0,0,90,140,0,230
Sembawang,Admiralty,2018,890,930,970,910,740,880,1120,1300,1350,1180,1010,910,730,480,320,230,130,100,4440,8480,1260,14180
Sembawang,Sembawang Central,2018,1430,1860,1960,2130,1940,2120,2090,2600,2770,2760,2440,2210,1730,1070,570,410,230,220,9320,18720,2500,30540
Sembawang,Sembawang East,2018,810,430,460,390,480,1240,1140,680,680,600,550,380,250,150,110,80,30,30,2570,5520,400,8490
Sembawang,Sembawang North,2018,1290,1740,1880,1790,1530,1540,1830,2440,2480,2280,1970,1780,1490,980,530,340,170,150,8230,15810,2170,26210
Sembawang,Sembawang Springs,2018,280,360,460,450,370,390,370,470,620,600,510,370,260,210,160,140,80,130,1920,3590,720,6230
Sembawang,Sembawang Straits,2018,70,110,110,120,140,130,70,100,140,160,150,150,100,70,40,40,20,10,550,1000,180,1730
Sengkang,Anchorvale,2018,3790,3370,3080,2300,1800,2620,4650,4680,4270,3430,2340,2240,1930,1430,860,540,230,190,14340,26160,3250,43750
Sengkang,Compassvale,2018,2060,1860,1310,790,650,1140,2400,3010,2430,1310,980,840,820,680,420,270,150,70,6670,12930,1590,21190
Sengkang,Fernvale,2018,5480,4790,3150,2460,1970,2910,6240,6840,4930,3590,2850,2450,2010,1620,1060,700,390,390,17850,31820,4160,53830
Sengkang,Rivervale,2018,2870,3400,3760,4100,4170,4170,4190,4610,5040,5150,4620,4680,3940,2670,1520,870,480,450,18300,36400,5990,60690
Sengkang,Sengkang Town Centre,2018,3620,3620,3560,3790,3870,4440,5320,5730,4920,4830,4500,4230,3460,2290,1320,850,510,440,18460,37430,5410,61300
